,index,app id,title,release date,type
0,0,1222670,The Sims™ 4,2020-06-18,MAIN
1,1,1235767,The Sims™ 4 Movie Hangout Stuff,2020-06-18,SP
2,2,1235752,The Sims™ 4 Perfect Patio Stuff,2020-06-18,SP
3,3,1235753,The Sims™ 4 My First Pet Stuff,2020-06-18,SP
4,4,1235754,The Sims™ 4 Luxury Party Stuff,2020-06-18,SP
5,5,1235755,The Sims™ 4 Moschino Stuff,2020-06-18,SP
6,6,1235756,The Sims™ 4 Cool Kitchen Stuff,2020-06-18,
7,7,1235750,The Sims™ 4 Fitness Stuff,2020-06-18,SP
8,8,1235757,The Sims™ 4 Bowling Night Stuff,2020-06-18,
9,9,1235759,The Sims™ 4 Spooky Stuff,2020-06-18,SP
10,10,1235720,The Sims™ 4 Get Famous,2020-06-18,EP
11,11,1235721,The Sims™ 4 Cats & Dogs,2020-06-18,EP
12,12,1235722,The Sims™ 4 Discover University,2020-06-18,EP
13,13,1235764,The Sims™ 4 Holiday Celebration Pack,2020-06-18,SP
14,14,1301020,The Sims™ 4 Eco Lifestyle,2020-06-18,EP
15,15,1235758,The Sims™ 4 Romantic Garden Stuff,2020-06-18,SP
16,16,1235734,The Sims™ 4 Get To Work,2020-06-18,EP
17,17,1235751,The Sims™ 4 Vintage Glamour Stuff,2020-06-18,SP
18,18,1235733,The Sims™ 4 Seasons,2020-06-18,EP
19,19,1235741,The Sims™ 4 Outdoor Retreat,2020-06-18,GP
20,20,1235746,The Sims™ 4 Realm of Magic,2020-06-18,GP
21,21,1235742,The Sims™ 4 StrangerVille,2020-06-18,GP
22,22,1235730,The Sims™ 4 Island Living,2020-06-18,EP
23,23,1235743,The Sims™ 4 Vampires,2020-06-18,GP
24,24,1235766,The Sims™ 4 Tiny Living Stuff,2020-06-18,SP
25,25,1235745,The Sims™ 4 Parenthood,2020-06-18,GP
26,26,1235747,The Sims™ 4 Dine Out,2020-06-18,GP
27,27,1235744,The Sims™ 4 Jungle Adventure,2020-06-18,GP
28,28,1235760,The Sims™ 4 Backyard Stuff,2020-06-18,
29,29,1235731,The Sims™ 4 City Living,2020-06-18,EP
30,30,1235761,The Sims™ 4 Laundry Day Stuff,2020-06-18,SP
31,31,1235762,The Sims™ 4 Toddler Stuff,2020-06-18,SP
32,32,1235763,The Sims™ 4 Kids Room Stuff,2020-06-18,SP
33,33,1235732,The Sims™ 4 Get Together,2020-06-18,EP
34,34,1235765,The Sims™ 4 Digital Deluxe Upgrade,2020-06-18,EP
35,35,1235740,The Sims™ 4 Spa Day Game Pack,2020-06-18,GP
36,36,1368570,The Sims™ 4 Nifty Knitting Stuff Pack,2020-07-28,SP
37,37,1368572,The Sims™ 4 Snowy Escape Expansion Pack,2020-11-13,EP
38,38,1368571,The Sims™ 4 Paranormal Stuff Pack,2021-01-26,SP
39,39,1561770,The Sims™ 4 Courtyard Oasis Kit,2021-05-18,KIT
40,40,1458151,The Sims™ 4 Dream Home Decorator Game Pack,2021-06-01,GP
41,41,1458150,The Sims™ 4 Cottage Living Expansion Pack,2021-07-22,EP
42,42,1621470,The Sims™ 4 Industrial Loft Kit,2021-08-24,KIT
43,43,1458152,The Sims™ 4 Fashion Street Kit,2021-10-05,KIT
44,44,1621471,The Sims™ 4 Incheon Arrivals Kit,2021-10-05,KIT
45,45,1621474,The Sims™ 4 Blooming Rooms Kit,2021-11-09,KIT
46,46,1621473,The Sims™ 4 Modern Menswear Kit,2021-12-02,KIT
47,47,1621475,The Sims™ 4 Carnaval Streetwear Kit,2022-02-03,KIT
48,48,1621460,The Sims™ 4 My Wedding Stories Game Pack,2022-02-23,GP
49,49,1621476,The Sims™ 4 Decor to the Max Kit,2022-03-21,KIT
50,50,1904390,The Sims™ 4 Moonlight Chic Kit,2022-05-26,KIT
51,51,1904391,The Sims™ 4 Little Campers Kit,2022-05-26,KIT
52,52,1776780,The Sims™ 4 Werewolves Game Pack,2022-06-16,GP
53,53,1816550,The Sims™ 4 High School Years Expansion Pack,2022-07-28,EP
