,순위,일자,순위변동
0,37,2024-12-10,▲ 24
1,61,2024-12-03,▼ 28
2,33,2024-11-26,▲ 41
3,73,2024-11-19,▼ 13
4,60,2024-11-12,▼ 29
5,31,2024-11-05,▼ 6
6,25,2024-10-29,▲ 48
7,89,2024-10-22,▼ 8
8,83,2024-10-15,▼ 15
9,69,2024-10-08,▲ 1
10,70,2024-10-01,▼ 4
11,65,2024-09-24,▼ 35
12,30,2024-09-17,▲ 64
13,92,2024-09-10,▼ 21
14,70,2024-09-03,0
15,70,2024-08-27,▼ 3
16,68,2024-08-20,▼ 35
17,32,2024-08-13,▼ 7
18,25,2024-08-06,▲ 3
19,28,2024-07-30,▲ 4
20,32,2024-07-23,▲ 22
21,54,2024-07-16,▼ 12
22,42,2024-07-09,▼ 13
23,29,2024-07-02,▲ 5
24,34,2024-06-25,▲ 19
25,53,2024-06-18,▼ 23
26,33,2024-06-11,▲ 29
27,62,2024-06-04,▲ 5
28,67,2024-05-28,▲ 11
29,78,2024-05-21,▲ 6
30,84,2024-05-14,▼ 42
31,42,2024-05-07,▼ 14
32,28,2024-04-30,▲ 35
33,63,2024-04-23,▲ 18
34,81,2024-04-16,▼ 7
35,74,2024-04-09,▼ 15
36,59,2024-04-02,▼ 18
37,41,2024-03-26,▼ 15
38,26,2024-03-19,▲ 5
39,31,2024-03-12,▲ 37
40,68,2024-03-05,▼ 6
41,62,2024-02-27,▲ 10
42,72,2024-02-20,▼ 40
43,32,2024-02-13,▲ 3
44,35,2024-02-06,▲ 18
45,53,2024-01-30,▼ 6
46,47,2024-01-23,▼ 11
47,36,2024-01-16,▲ 2
48,38,2024-01-09,▼ 8
49,30,2024-01-02,▼ 8
50,22,2023-12-26,▼ 1
51,21,2023-12-19,▲ 33
52,54,2023-12-12,▼ 15
53,39,2023-12-05,▲ 14
54,53,2023-11-28,▼ 32
55,21,2023-11-21,▲ 50
56,71,2023-11-14,▲ 3
57,74,2023-11-07,▼ 24
58,50,2023-10-31,▼ 7
59,43,2023-10-24,▲ 33
60,76,2023-10-17,▼ 12
61,64,2023-10-10,▼ 2
62,62,2023-10-03,▼ 15
63,47,2023-09-26,▼ 7
64,40,2023-09-19,▲ 4
65,44,2023-09-12,▲ 6
66,50,2023-09-05,▲ 21
67,71,2023-08-29,▼ 9
68,62,2023-08-22,0
69,62,2023-08-15,▼ 25
70,37,2023-08-08,▼ 13
71,24,2023-08-01,▼ 3
72,21,2023-07-25,▼ 5
73,16,2023-07-18,▲ 25
74,41,2023-07-11,▼ 11
75,30,2023-07-04,▲ 1
76,31,2023-06-27,▲ 24
77,55,2023-06-20,▲ 13
78,68,2023-06-13,▼ 5
79,63,2023-06-06,▼ 21
80,42,2023-05-30,▼ 21
81,21,2023-05-23,▼ 3
82,18,2023-05-16,▲ 25
83,43,2023-05-09,▲ 7
84,50,2023-05-02,▲ 6
85,56,2023-04-25,▼ 3
